fonte;preco;area;local;padrao;conservacao;tem_foto;status_validacao;motivo_rejeicao
2 | Capitão Poço | Capitão Poço | Casa 3 quartos, 2 suítes, energia solar | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco;300000;200.0;3;3;3;nao;prevalidacao;Amostra local aderente; manter área de 200 m² conforme orientação do avaliador.
12 | Capanema | Santa Luzia | Casa em CAPANEMA-PA, 3 Quartos | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-em-capanema-pa-3-quartos-1503884408;130000;120.0;2;2;2;nao;prevalidacao;Amostra regional com 3 quartos e área informada; padrão simples/normal.
14 | Capanema | Motocros | Casa 130m² Motocros | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;110000;130.0;2;1;2;nao;prevalidacao;Amostra simples regional; reclassificada como Padrão 1 por simplicidade/baixo valor unitário.
16 | Capanema | São Pio X | Casa Capanema, São Pio X | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-capanema-sao-pio-x-1388313635;300000;200.0;3;3;3;nao;prevalidacao;Amostra regional superior, 3 quartos, 200 m².
17 | Capanema | São Cristóvão | MF - venda casa em Capanema/PA | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;550000;300.0;3;3;3;nao;prevalidacao;Amostra regional superior; usar com cautela por padrão superior.
20 | Santa Maria do Pará | Santa Maria do Pará | Casa vendas | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/santa-maria-do-para;140000;80.0;2;2;2;nao;prevalidacao;Amostra regional simples de 3 quartos; área inferior ao avaliando.
23 | Nova Timboteua | Av. Barão do Rio Branco | Casa Av. Barão do Rio Branco | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/nova-timboteua;320000;200.0;3;3;3;nao;prevalidacao;Amostra regional superior; 4 quartos e 4 banheiros.
24 | Igarapé-Açu | Igarapé-Açu | Casa 3/4 sendo uma suíte | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/igarape-acu;130000;120.0;2;2;2;nao;prevalidacao;Amostra regional simples/normal.
3 | Capitão Poço | Capitão Poço | Casa ampla, 2 quartos, sendo 1 suíte | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco;210000;250.0;2;2;2;nao;prevalidacao;Amostra local; 2 quartos e 250 m²; usar com ressalva de menor número de quartos.
15 | Capanema | Samambaia | Casa 2 quartos Samambaia | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema;260000;85.0;3;3;3;nao;prevalidacao;Amostra regional de padrão superior/valor unitário alto; controlar por Padrão.
26 | São Miguel do Guamá | São Miguel do Guamá | Vendo Casa no Guamá - 3 quartos | https://pa.olx.com.br/regiao-de-belem/imoveis/vendo-casa-no-guama-1499171346;280000;270.0;2;2;2;nao;prevalidacao;Amostra regional com link individual, 3 quartos e 270 m².
30 | Capanema | Centro / Almir Gabriel | Casa Capanema, Almir Gabriel | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-capanema-almir-gabriel-1512812029;55000;180.0;2;1;1;sim;prevalidacao;Amostra real OLX; 3 quartos, 1 banheiro, lote 9x20; Padrão 1 por imóvel sem acabamento.
31 | Capanema | Centro / Santa Rosa | Casa Simples _ Bairro Santa Rosa Capanema/PA | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-simples-bairro-santa-rosa-capanema-pa-1510196264;40000;60.0;2;1;1;sim;prevalidacao;Substitui a amostra 25 por ter link ativo, área construída informada, fotos, preço e descrição; ressalva: menor aderência por possuir 1 quarto.
