"fonte";"preco";"area";"local";"padrao";"conservacao";"tem_foto";"status_validacao";"motivo_rejeicao"
"2 | Capitão Poço | Capitão Poço | Casa 3 quartos, 2 suítes, energia solar | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco";"300000";"200.0";"3";"3";"3";"nao";"prevalidacao";"Amostra local mais aderente, mas área precisa ser confirmada; se usar 250m², o resultado cai e pode perder Precisão III."
"6 | Capanema | São Pio X | Casa em Capanema com 237m² | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"600000";"237.0";"3";"3";"3";"nao";"prevalidacao";"Comparável regional superior; mantém amplitude do mercado; usar com variável de área e ressalva de padrão superior."
"12 | Capanema | Santa Luzia | Casa em CAPANEMA-PA, 3 Quartos | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-em-capanema-pa-3-quartos-1503884408";"130000";"120.0";"2";"2";"2";"nao";"prevalidacao";"Amostra regional forte: 3 quartos, área construída confirmada, preço baixo/médio."
"14 | Capanema | Motocros | Casa 130m² Motocros | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"110000";"130.0";"2";"2";"2";"nao";"prevalidacao";"Amostra simples regional; aumenta N para 9 no M1; reduz valor central, mas mantém Grau III."
"16 | Capanema | São Pio X | Casa Capanema, São Pio X | https://pa.olx.com.br/regiao-de-belem/imoveis/casa-capanema-sao-pio-x-1388313635";"300000";"200.0";"3";"3";"3";"nao";"prevalidacao";"Amostra regional muito boa: 3 quartos, área construída confirmada, padrão normal/superior."
"17 | Capanema | São Cristóvão | MF - venda casa em Capanema/PA | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"550000";"300.0";"3";"3";"3";"nao";"prevalidacao";"Amostra regional superior; testar com cautela para não supervalorizar."
"20 | Santa Maria do Pará | Santa Maria do Pará | Casa vendas | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/santa-maria-do-para";"140000";"80.0";"2";"2";"2";"nao";"prevalidacao";"Amostra regional simples de 3 quartos; área inferior ao avaliando, mas útil para calibrar mercado."
"23 | Nova Timboteua | Av. Barão do Rio Branco | Casa Av. Barão do Rio Branco | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/nova-timboteua";"320000";"200.0";"3";"3";"3";"nao";"prevalidacao";"Amostra regional superior; 4 quartos e 4 banheiros, entra para capturar faixa alta."
"24 | Igarapé-Açu | Igarapé-Açu | Casa 3/4 sendo uma suíte | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/igarape-acu";"130000";"120.0";"2";"2";"2";"nao";"prevalidacao";"Amostra regional dentro do limite de 100km; simples/normal, 3 quartos."
"3 | Capitão Poço | Capitão Poço | Casa ampla, 2 quartos, sendo 1 suíte | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco";"210000";"250.0";"2";"2";"2";"nao";"rejeitada";"Reserva/excluída do modelo principal: Reserva local: 2 quartos e área possivelmente terreno; usar só se confirmado."
"19 | São Miguel do Guamá | São Miguel do Guamá | Vendo Casa no Guamá | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/sao-miguel-do-guama";"280000";"270.0";"2";"2";"2";"nao";"rejeitada";"Reserva/excluída do modelo principal: Reserva: valor próximo ao pretendido, mas sua inclusão piorou a amplitude no modelo testado."
"10 | Capanema | Santa Luzia | Vendo casa e aceito carro como entrada | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"219999";"85.0";"2";"2";"2";"nao";"rejeitada";"Reserva/excluída do modelo principal: Baixa aderência: apenas 1 quarto; usar apenas em teste alternativo."
"15 | Capanema | Samambaia | Casa 2 quartos Samambaia | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"260000";"85.0";"3";"3";"3";"nao";"rejeitada";"Reserva/excluída do modelo principal: Baixa aderência por 2 quartos e alto valor unitário; pode inflar resultado."
