"fonte";"preco";"area";"local";"padrao";"conservacao";"tem_foto";"status_validacao";"motivo_rejeicao"
"2 | Capitão Poço | Casa 3 quartos, 2 suítes, energia solar | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco";"300000";"250.0";"2";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte/testar; anúncio mostra 250 m², R$ 300 mil"
"3 | Capitão Poço | Casa ampla, 2 quartos, 1 suíte | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco";"210000";"250.0";"2";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Teste; tipologia inferior em quartos"
"6 | Capanema | Casa 237 m², São Pio X | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"600000";"237.0";"3";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Teste superior; regional"
"10 | Capanema | Casa Santa Luzia | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"219999";"85.0";"3";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Baixa aderência por nº de quartos; teste se necessário"
"12 | Capanema | Casa 3 quartos Santa Luzia | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"130000";"120.0";"3";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; 3 quartos e área informada"
"14 | Capanema | Casa 130 m² Motocros | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"110000";"130.0";"3";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; 3 quartos"
"15 | Capanema | Casa 2 quartos Samambaia | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"260000";"85.0";"3";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Teste; área baixa e banheiros elevados"
"16 | Capanema | Casa São Pio X | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"300000";"200.0";"3";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; 3 quartos"
"17 | Capanema | Casa São Cristóvão | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"550000";"300.0";"3";"2";"2";"nao";"prevalidacao";"Manter inicialmente e verificar resíduos/Cook/VIF; Teste superior"
"19 | São Miguel do Guamá | Vendo casa no Guamá | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/sao-miguel-do-guama";"280000";"270.0";"2";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; valor próximo ao pretendido"
"20 | Santa Maria do Pará | Casa vendas | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/santa-maria-do-para";"140000";"80.0";"2";"2";"2";"nao";"prevalidacao";"Manter inicialmente e verificar resíduos/Cook/VIF; Teste; 3 quartos, área menor"
"23 | Nova Timboteua | Casa Av. Barão do Rio Branco | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/nova-timboteua";"320000";"200.0";"2";"2";"2";"nao";"prevalidacao";"Manter inicialmente e verificar resíduos/Cook/VIF; Teste superior; 4 quartos"
"24 | Igarapé-Açu | Casa 3/4 sendo suíte | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/igarape-acu";"130000";"120.0";"2";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; 3 quartos"
