"fonte";"preco";"area";"local";"padrao";"conservacao";"tem_foto";"status_validacao";"motivo_rejeicao"
"2 | Capitão Poço | Casa 3 quartos, 2 suítes, energia solar | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco";"300000";"250.0";"2";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte/testar; anúncio mostra 250 m², R$ 300 mil"
"3 | Capitão Poço | Casa ampla, 2 quartos, 1 suíte | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capitao-poco";"210000";"250.0";"2";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Teste; tipologia inferior em quartos"
"6 | Capanema | Casa 237 m², São Pio X | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"600000";"237.0";"3";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Teste superior; regional"
"9 | Capanema | Casa simples Santa Rosa | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"40000";"60.0";"3";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Outlier inferior/tipologia baixa"
"10 | Capanema | Casa Santa Luzia | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"219999";"85.0";"3";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Baixa aderência por nº de quartos; teste se necessário"
"12 | Capanema | Casa 3 quartos Santa Luzia | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"130000";"120.0";"3";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; 3 quartos e área informada"
"13 | Capanema | Casa 1000 m² Centro | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"1800000";"1000.0";"3";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Outlier superior/escala incompatível"
"14 | Capanema | Casa 130 m² Motocros | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"110000";"130.0";"3";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; 3 quartos"
"15 | Capanema | Casa 2 quartos Samambaia | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"260000";"85.0";"3";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Teste; área baixa e banheiros elevados"
"16 | Capanema | Casa São Pio X | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"300000";"200.0";"3";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; 3 quartos"
"17 | Capanema | Casa São Cristóvão | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/capanema";"550000";"300.0";"3";"2";"2";"nao";"prevalidacao";"Manter inicialmente e verificar resíduos/Cook/VIF; Teste superior"
"19 | São Miguel do Guamá | Vendo casa no Guamá | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/sao-miguel-do-guama";"280000";"270.0";"2";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; valor próximo ao pretendido"
"20 | Santa Maria do Pará | Casa vendas | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/santa-maria-do-para";"140000";"80.0";"2";"2";"2";"nao";"prevalidacao";"Manter inicialmente e verificar resíduos/Cook/VIF; Teste; 3 quartos, área menor"
"21 | Santa Maria do Pará | Vendo ou troco | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/santa-maria-do-para";"80000";"495.0";"2";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Outlier inferior/área de terreno provável"
"23 | Nova Timboteua | Casa Av. Barão do Rio Branco | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/nova-timboteua";"320000";"200.0";"2";"2";"2";"nao";"prevalidacao";"Manter inicialmente e verificar resíduos/Cook/VIF; Teste superior; 4 quartos"
"24 | Igarapé-Açu | Casa 3/4 sendo suíte | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/igarape-acu";"130000";"120.0";"2";"2";"2";"nao";"prevalidacao";"Amostra prioritária; Forte regional; 3 quartos"
"25 | Igarapé-Açu | Casa 2 quartos 780 m² | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/igarape-acu";"160000";"780.0";"2";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Outlier/área provavelmente terreno"
"27 | Igarapé-Açu | Casa 500 m² | OLX | https://www.olx.com.br/imoveis/venda/casas/estado-pa/regiao-de-belem/outras-cidades/igarape-acu";"170000";"500.0";"2";"2";"2";"nao";"prevalidacao";"Verificar no saneamento estatístico; Teste/outlier por área; provável terreno"
